username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,
bitcoinconnect,10/30/2019 4:20,0,0,The unheralded stars of the fall fruit bounty Pre-Order Now! http://ANONYMOUS.vuhere.com # benladen # trumpthekidswerecrying # trump # Idlib # bidladen # Baghdadi # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/2fDeTki7Q8,,,# # # # # # # # # #,1.18932E+18,https://twitter.com/bitcoinconnect/status/1189321136821149696,,
FuzzeePundit,10/30/2019 4:20,0,1,The “petulant child” that killed # Baghdadi . Nice job @ realDonaldTrump !,,@,#,1.18932E+18,https://twitter.com/FuzzeePundit/status/1189321113047883776,,
KhalilEJahshan,10/30/2019 4:20,1,0,The death of # ISIS leader Abu Bakr al- # Baghdadi will damage the organizational & strategic capacity of the already beleaguered IS. But will it meaningfully undermine the popularity of Baghdadi’s militant ideas? Data we analyzed suggests the answer is no. https://foreignpolicy.com/2019/10/29/isis-leader-baghdadi-death-islamic-state-ideas-martyrdom-bump/ …,,,# #,1.18932E+18,https://twitter.com/KhalilEJahshan/status/1189321102889275392,,
bwhytecomedy,10/30/2019 4:19,0,0,Saw an ad on LinkedIn. “Looking for a new head of ISIS”. Good luck filling that position. Temp Agency...maybe? # Baghdadi # troops # next,,,# # #,1.18932E+18,https://twitter.com/bwhytecomedy/status/1189320918767677440,,
Boomerjeff,10/30/2019 4:19,0,0,# Baghdadi # BaghdadiDiedLikeADog # Trump2020Landslide # ImpeachmentHoaxpic.twitter.com/HxCxZyzDns,,,# # # #,1.18932E+18,https://twitter.com/Boomerjeff/status/1189320792351367168,,
kmrowe1,10/30/2019 4:19,0,0,Omar still in mourning for # Baghdadi,,,#,1.18932E+18,https://twitter.com/kmrowe1/status/1189320783878918144,,
Farid_Senzai,10/30/2019 4:18,2,1,A great piece from @ hahellyer on why ISIS won't simply disappear just because # Baghdadi has been killed. @ ForeignPolicy # ISIShttps://twitter.com/ForeignPolicy/status/1189308513601884160 …,,@ @,# #,1.18932E+18,https://twitter.com/Farid_Senzai/status/1189320637237678081,,
Fly_Sistah,10/30/2019 4:18,19,79,We will get the # Baghdadi video & all operational data before we see Trump's taxes https://twitter.com/Fly_Sistah/status/1188975599295049728?s=20 …,,,#,1.18932E+18,https://twitter.com/Fly_Sistah/status/1189320600214495233,,
bitcoinconnect,10/30/2019 4:17,0,0,Summer Zervos shared allegations of Trump's sexual assault with lawyers in 2011,,,,,,,
tvdinner2,10/30/2019 4:15,0,0,BREAKING: KILLING # BAGHDADI! https://www.tmz.com/2019/10/28/rob-oneill-bin-laden-killer-isis-leader-dead-proud-al-baghdadi-raid/ …,,,#,1.18932E+18,https://twitter.com/tvdinner2/status/1189319790948765698,,
bitcoinconnect,10/30/2019 4:15,0,0,Former federal prosecutor Mimi Rocah reveals telltale sign Rudy Giuliani is in major trouble http://allexpressnews.com # isis # benladen # trumpthekidswerecrying # trump # Idlib # bidladen # Baghdadi # rudygiuliani # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/0DcqwUaZTG,,,# # # # # # # # # # # #,1.18932E+18,https://twitter.com/bitcoinconnect/status/1189319770409181186,,
steveTHEbacon_,10/30/2019 4:14,0,0,Presidential... Not so presidential # alBaghdadi # Baghdadi # ImpeachAndRemovehttps://youtu.be/OsBOWSjOLsE,,,# # #,1.18932E+18,https://twitter.com/steveTHEbacon_/status/1189319619405897730,,
NaumLea,10/30/2019 4:13,0,0,Welcher der US- Hunde hat an # Baghdadi‘s Unterhose geschnüffelt ? pic.twitter.com/SrQPdxV1yC,,,#,1.18932E+18,https://twitter.com/NaumLea/status/1189319484252790785,,
21WIRE,10/30/2019 4:11,50,57,# Trump's vow to bring US troops home from # Syria was just a mirage. How will US react when the SAA and Russia move to retake # Idlib? # Baghdadi # ISIShttps://21stcenturywire.com/2019/10/29/lendman-endless-us-rape-occupation-and-plunder-of-syria/ …,,,# # # # #,1.18932E+18,https://twitter.com/21WIRE/status/1189318956634558465,,
bitcoinconnect,10/30/2019 4:10,0,0,'Greening the desert': What drives militants' environmentalism? http://allexpressnews.com # benladen # trumpthekidswerecrying # isis # trump # Idlib # bidladen # Baghdadi # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/xBvCrOkUCG,,,# # # # # # # # # # #,1.18932E+18,https://twitter.com/bitcoinconnect/status/1189318668213276672,,
bitcoinconnect,10/30/2019 4:10,0,0,The horrendous message behind Trump's 'lynching' tweet http://allexpressnews.com # benladen # trumpthekidswerecrying # trump # Idlib # bidladen # Baghdadi # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/6xcFGJWbSL,,,# # # # # # # # # #,1.18932E+18,https://twitter.com/bitcoinconnect/status/1189318588282347520,,
bitcoinconnect,10/30/2019 4:09,0,0,A framer slyly changed the US Constitution's impeachment clause http://allexpressnews.com # benladen # trumpthekidswerecrying # isis # trump # Idlib # bidladen # Baghdadi # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/gLVsFq5TGp,,,# # # # # # # # # # #,1.18932E+18,https://twitter.com/bitcoinconnect/status/1189318481633796098,,
BelowAvgJoeshow,10/30/2019 4:08,0,0,Alot of people are saying # RudyColludy was in the bunker and relayed to trump that # Baghdadi was whimpering. # MattGaetzIsAToolhttps://twitter.com/maggieNYT/status/1189317344025366530 …,,,# # #,1.18932E+18,https://twitter.com/BelowAvgJoeshow/status/1189317992716406784,,
magi5er,10/30/2019 4:07,5,7,If CPC and Kinsella hired Antifa,,,,,,,
JulE4422,10/30/2019 4:06,0,2,So President Bush had # Baghdadi. Obama released him and then President Trump ended him. Democrats are insane. # Trump2020Landslide,,,# #,1.18932E+18,https://twitter.com/JulE4422/status/1189317521733804033,,
bitcoinconnect,10/30/2019 4:04,0,0,Madras High students renovating on-campus pediatric health clinic Pre-Order Now! http://ANONYMOUS.vuhere.com # benladen # trumpthekidswerecrying # trump # Idlib # bidladen # Baghdadi # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/Q2Kte8wlbQ,,,# # # # # # # # # #,1.18932E+18,https://twitter.com/bitcoinconnect/status/1189317048960204800,,
DanielPilotte,10/30/2019 4:02,3,2,Je me réjouis de la mort de l’ordure # Baghdadi,,,,,,,
bitcoinconnect,10/30/2019 4:01,0,0,Donald Trump's Minnesota pipe dream Pre-Order Now! http://ANONYMOUS.vuhere.com # benladen # trumpthekidswerecrying # trump # Idlib # bidladen # Baghdadi # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/EiFqQP5P0G,,,# # # # # # # # # #,1.18932E+18,https://twitter.com/bitcoinconnect/status/1189316395877765120,,
bitcoinconnect,10/30/2019 4:01,0,0,Two of Rudy Giuliani's Associates Were Just Arrested Because Trumpworld Is an Open Sewer http://allexpressnews.com # isis # benladen # trumpthekidswerecrying # trump # Idlib # bidladen # Baghdadi # rudygiuliani # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/VDAIc8aVOL,,,# # # # # # # # # # # #,1.18932E+18,https://twitter.com/bitcoinconnect/status/1189316357336305664,,
DanielPilotte,10/30/2019 4:00,2,1,# Baghdadi : l’arrogante et incompétente @ florence_parly ose s’en prendre à @ realDonaldTrumphttps://ripostelaique.com/baghdadi-larrogante-et-incompetente-parly-ose-sen-prendre-a-trump.html …,,@ @,#,1.18932E+18,https://twitter.com/DanielPilotte/status/1189316135533060098,,
born_summer62,10/30/2019 4:00,1,2,Interesting NOW there is a VOTE after the US Military confiscated documents,,,,,,,
WISE_SP,10/30/2019 4:00,0,0,# Pelosi says # Trump notified # Russians of # Baghdadi raid before telling congressional leaders http://a.msn.com/01/en-ca/AAJrHxl?ocid=st …,,,# # # #,1.18932E+18,https://twitter.com/WISE_SP/status/1189315991047684096,,
Itsy32630827,10/30/2019 3:59,0,0,# Baghdadi # MAGApic.twitter.com/StVDbcoeQj,,,# #,1.18932E+18,https://twitter.com/Itsy32630827/status/1189315809157496832,,
bitcoinconnect,10/30/2019 3:57,0,1,‘This all started long before Bin Laden’: Why Pakistan is kicking out foreign charities http://allexpressnews.com # benladen # trumpthekidswerecrying # isis # trump # Idlib # bidladen # Baghdadi # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/rtp679QT5y,,,# # # # # # # # # # #,1.18932E+18,https://twitter.com/bitcoinconnect/status/1189315289017671680,,
Bala_mazeh,10/30/2019 3:55,0,0,Et dire qu’en son temps,,,,,,,
zamorinix,10/30/2019 3:54,2,0,# Baghdadi death: What now for # Daesh? Now that its chief has been killed,,,,,,,
bitcoinconnect,10/30/2019 3:54,0,0,Trump Moves Closer to Ending Another Post-Cold War Treaty http://allexpressnews.com # benladen # trumpthekidswerecrying # trump # Idlib # bidladen # Baghdadi # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/UTWG21lHqw,,,# # # # # # # # # #,1.18931E+18,https://twitter.com/bitcoinconnect/status/1189314692902195200,,
FilipRisteski,10/30/2019 3:54,0,1,HAHAHHAHA HE KNEW?!?! Fool,,,,,,,
ChristinePolon1,10/30/2019 3:54,8,14,Here we go...a scholar,,,,,,,
YepConservative,10/30/2019 3:54,0,0,Well said ⁦ @ AllenWest⁩ ... # Baghdadi is gone!!! pic.twitter.com/QWQGUjqGUx,,@,#,1.18931E+18,https://twitter.com/YepConservative/status/1189314492326404097,,
bitcoinconnect,10/30/2019 3:53,0,0,Donald Trump impeachment: “High Crimes and Misdemeanors,,,,,,,
DarcyDefends,10/30/2019 3:51,0,2,. ⁦ @ realDonaldTrump⁩ sounds like the runt of the first grade soccer team after accidentally scoring a goal and repeatedly describing it to his parents # mommyissues # daddyissues # Baghdadi # likeadog # ISIS # ISISleaderDeadhttps://youtu.be/OsBOWSjOLsE,,@,# # # # # #,1.18931E+18,https://twitter.com/DarcyDefends/status/1189313940611829760,,
bitcoinconnect,10/30/2019 3:49,0,0,A handy guide to deciding which VSCO filter your photo needs Pre-Order Now! http://ANONYMOUS.vuhere.com # benladen # trumpthekidswerecrying # trump # Idlib # bidladen # Baghdadi # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/8He2NyuVzE,,,# # # # # # # # # #,1.18931E+18,https://twitter.com/bitcoinconnect/status/1189313416961376256,,
bitcoinconnect,10/30/2019 3:47,0,0,The Stock Market In Trump’s Head Is Doing Much Better Than The One In Real Life Pre-Order Now! http://ANONYMOUS.vuhere.com # benladen # trumpthekidswerecrying # trump # Idlib # bidladen # Baghdadi # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/meqok4HJfA,,,# # # # # # # # # #,1.18931E+18,https://twitter.com/bitcoinconnect/status/1189312865553043457,,
bitcoinconnect,10/30/2019 3:46,0,0,Rudy Giuliani Has a Record of Being Very Opposed to Anti-Corruption Efforts http://allexpressnews.com # isis # benladen # trumpthekidswerecrying # trump # Idlib # bidladen # Baghdadi # rudygiuliani # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/L4zW25F4RS,,,# # # # # # # # # # # #,1.18931E+18,https://twitter.com/bitcoinconnect/status/1189312603681644546,,
MissMcC5,10/30/2019 3:45,0,0,Only the worst kind of coward would use children as a human shield and then annihilate them up as you commit suicide- which is its own act of cowardice. # Baghdadi,,,#,1.18931E+18,https://twitter.com/MissMcC5/status/1189312362949595137,,
molonlabe85411,10/30/2019 3:45,1,0,'He did the right thing': Father of Kayla Mueller defends Trump for hiding Baghdadi raid from Congress - # KaylaMueller # Trump # ISIS # Baghdadi # BaghdadiDiedLikeADoghttps://apple.news/ArLA1nDeiR3O7lPjZHESN5A …,,,# # # # #,1.18931E+18,https://twitter.com/molonlabe85411/status/1189312306993344512,,
