username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
carts245,10/30/2019 0:37,1,2,he is the ultimate good boi # goodboy # BaghdadiKilled pic.twitter.com/C4NST8seR8,,,# #,1.18927E+18,https://twitter.com/carts245/status/1189265123715833856
I_AminAql,10/30/2019 0:25,0,0,They created Bin Laden and then announced that they killed him,,,,,
RameshwarArya,10/29/2019 23:49,1,2,Thanks President # Trump Salute American Army for eliminate # Baghdadi https://twitter.com/realDonaldTrump/status/1189172468159864832?s=19 … # BaghdadiDiedLikeADog # BaghdadiKilled,,,# # # #,1.18925E+18,https://twitter.com/RameshwarArya/status/1189253057391013890
Dipali_rraina,10/29/2019 23:49,0,0,This is not even an apology... How shameless are you really! # BaghdadiKilled,,,#,1.18925E+18,https://twitter.com/Dipali_rraina/status/1189253017763225600
JackPolakoff,10/29/2019 23:36,0,2,"Spying"" turned out to be yet another Trump lie. Remember what blabbermouth look-at-me president said about the bin Laden raid. # BaghdadiDiedLikeADog # BaghdadiKilled # KurdsBetrayedByTrump made the raid possible.pic.twitter.com/F1OJOR9gRy""",,,# # #,1.18925E+18,https://twitter.com/JackPolakoff/status/1189249727780536325
boomshankar_,10/29/2019 23:36,0,1,ଇଲେକ୍ସନ ର ଠିକ ଆଗରୁ ଟ୍ରମ୍ଫ ନନା ଯୋଉଭଳି ବାଗ ରେ ବଗଦାଦି କୁ ମାରି ଦେଲେ ବୋଲି ଘୋଷଣା କଲେ,,,,,
ArmyofJ,10/29/2019 23:22,0,0,There’s nothing like defending # Baghdadi if you’re the @ washingtonpost # Coward # BaghdadiDiedLikeADog # baghdadiIsDead # BaghdadiKilled https://twitter.com/FordFischer/status/1188915273644085248 …,,@,# # # # #,1.18925E+18,https://twitter.com/ArmyofJ/status/1189246186772946945
GeniusMind001,10/29/2019 23:18,0,0,Their activities might be operated in small groups led by dozens of 'amir'. They are in no condition to select a # Caliph right now. And now their motivation is only the # Mahdi who will take the leadership in near future according to their belief. # BaghdadiKilled https://twitter.com/Rita_Katz/status/1188546500449767424 …,,,# # #,1.18925E+18,https://twitter.com/GeniusMind001/status/1189245200008450048
LadyPelgrift3,10/29/2019 23:09,0,1,Good doggie!!! # BaghdadiKilled # fucktrumppic.twitter.com/NYDI8IN6Z8,,,# #,1.18924E+18,https://twitter.com/LadyPelgrift3/status/1189242890469462018
LadyPelgrift3,10/29/2019 23:08,0,0,Lolollll # BaghdadiKilled by this dog? Where is the dog now?? pic.twitter.com/FoVWqSssZb,,,#,1.18924E+18,https://twitter.com/LadyPelgrift3/status/1189242701469962241
newyorkgossipg1,10/29/2019 23:07,0,1,Hahahahaa!!! # BaghdadiKilled https://twitter.com/bjennings812/status/1188946119621074946 …,,,#,1.18924E+18,https://twitter.com/newyorkgossipg1/status/1189242408682360832
newyorkgossipg1,10/29/2019 23:02,0,0,Weekday happened to this dog?!? # BaghdadiKilled # dogsofinstagramhttps://twitter.com/realDonaldTrump/status/1188909031403900928 …,,,# #,1.18924E+18,https://twitter.com/newyorkgossipg1/status/1189241223216844800
newyorkgossipg1,10/29/2019 23:02,0,0,What happened to this dog?!? # dogsofinstagram # BaghdadiKilled,,,# #,1.18924E+18,https://twitter.com/newyorkgossipg1/status/1189241027527356416
anujtyagi2020,10/29/2019 22:54,0,0,@ POTUS ने एक फ़ोटो क्या दिखायी जाहिलों को कमबख़्त बेज़ुबान के दुश्मन हो गए ... # BaghdadiKilled https://twitter.com/JainKiran6/status/1189198506,,@,#,1.18924E+18,https://twitter.com/anujtyagi2020/status/1189239039972577280
roysopinie2,10/29/2019 22:48,0,0,Dus indirect heeft # Nederland dus ook zijn steentje bijgedragen aan de operatie # BaghdadiKilled ! Helemaal gaaf ! De hond die de IS-leider # Baghdadi opspoorde is getraind in Nederland !https://www.telegraaf.nl/t/512297576/,,,# # #,1.18924E+18,https://twitter.com/roysopinie2/status/1189237529842798598
IAmSophiaNelson,10/29/2019 22:47,0,5,Well done @ MylesCaggins @ OIRSpox thank you for your service. # BaghdadiKilled # Syria # ISIS # USARMYhttps://twitter.com/RudawEnglish/status/1189076264172212224 …,,@ @,# # # #,1.18924E+18,https://twitter.com/IAmSophiaNelson/status/1189237272299933696
RajeshRanastv,10/29/2019 22:36,1,1,आखिर मस्ज़िद,,,,,
LokendraParasar,10/29/2019 22:31,25,114,ISIS का नंबर दो भी मारा गया है । रिश्तेदारों.... अब तो सबूत मांग लो # BaghdadiDiedLikeADog # BaghdadiKilled # bagdadidead @ USArmy @ BJP4India @ INCIndiahttps://twitter.com/realDonaldTrump/status/1189172468159864832 …,,@ @ @,# # #,1.18923E+18,https://twitter.com/LokendraParasar/status/1189233241183653888
cgtnamerica,10/29/2019 22:18,24,62,The whole story really involves stolen underwear,,,,,
_ensine,10/29/2019 22:16,0,1,Now who is next in line momins # BaghdadiDiedLikeADog # BaghdadiKilled https://www.nbcnews.com/politics/donald-trump/trump-says-u-s-has-killed-al-baghdadi-s-number-n1073316 …,,,# #,1.18923E+18,https://twitter.com/_ensine/status/1189229634505842692
40_Ronda,10/29/2019 22:06,7,8,# BaghdadiKilled The Spokesman for the Health Ministry of Yemen,,,,,
RajputMithiles5,10/29/2019 22:02,0,1,Lagta h @ abpnewshindi ko Fund # Baghdadi deta h tabhi to Es Khunkhar # Terrorist ka Etna Mahima mandan kr rha h Ye Channel Jese Lagta Usne bahot Mahan kaam kiya tha Duniya ke liye,,,,,
pramod_abhms,10/29/2019 21:58,0,0,# BaghdadiKilled # बगदादीpic.twitter.com/zqEJIdwnTq,,,# #,1.18923E+18,https://twitter.com/pramod_abhms/status/1189225112127655936
Aashi_2m,10/29/2019 21:46,0,0,Don’t forget to remember#KaylaMueller the 26 yrs old humanitarian aid who was Captured,,,,,
audaciousPert,10/29/2019 21:19,0,0,Visual guide to the raid that killed Isis leader Abu Bakr al-Baghdadi # BaghdadiDead # BaghdadiKilled # ISISleaderDeadhttps://www.theguardian.com/world/2019/oct/28/visual-guide-to-the-raid-that-killed-isis-leader-abu-bakr-al-baghdadi?CMP=share_btn_tw …,,,# # #,1.18922E+18,https://twitter.com/audaciousPert/status/1189215240153632768
WellWisherOfRK,10/29/2019 21:10,0,0,Was listening to # trump speech. He was talking about some # BigDaddy from last 5 minutes. I realized it later he was talking about # Baghdadi # BaghdadiKilled,,,# # # #,1.18921E+18,https://twitter.com/WellWisherOfRK/status/1189212981164478466
JBernoee,10/29/2019 21:09,0,0,"Trump's brain"" moves in mysterious ways . . . # BaghdadiKilled""",,,#,1.18921E+18,https://twitter.com/JBernoee/status/1189212663508807683
thisisindra,10/29/2019 21:07,0,2,Zero bark thirty - Meet the dog who chased down Baghdadi http://www.ecoti.in/exrGya48 # BaghdadiKilled # Baghdadi # CanineSoldier # ZeroBarkThirty # ISIS,,,# # # # #,1.18921E+18,https://twitter.com/thisisindra/status/1189212092676673536
JimMaso02236687,10/29/2019 21:02,1,0,Situation Room: 2 Photos Capture Vastly Different Presidents... # LiberalMedia not satisfied with the President's situation room picture https://apnews.com/2a346b8c36f142c8afc1deb524d6f169 … # tcot # uniteblue # BaghdadiDiedLikeADog # BaghdadiKilled # liberallogic # LiberalHypocrisy,,,# # # # # # #,1.18921E+18,https://twitter.com/JimMaso02236687/status/1189210785135808512
zaharako,10/29/2019 20:56,0,2,Special Forces panty raid! # Baghdadi # ISIS # alBaghdadi # Syria # SpecialForces # SPECIALOPS # BaghdadiKilled # BaghdadiDiedLikeADog # BaghdadiDead # DeltaForcehttps://www.bbc.com/news/world-middle-east-50218637 …,,,# # # # # # # # # #,1.18921E+18,https://twitter.com/zaharako/status/1189209492434481154
_real_gaurav,10/29/2019 20:55,0,0,बचपन से धार्मिक स्वभाव?? दिमाग तो ठीक है ना @ ashutosh83B आतंकवादी का स्वभाव भी जान लिया तुमने? # Baghdadi # BaghdadiKilled https://twitter.com/ashutosh83B/status/1189009862459412481 …,,@,# #,1.18921E+18,https://twitter.com/_real_gaurav/status/1189209220001886208
Tax_RG,10/29/2019 20:54,0,0,# BaghdadiKilled like pig not # BaghdadiDiedLikeADog ok,,,# #,1.18921E+18,https://twitter.com/Tax_RG/status/1189208845718978562
ApriliaZone,10/29/2019 20:50,0,0,I'd take Pence over Trump and I'm an atheist. # BaghdadiKilled # ImpeachmentIsComing # DumbAssTrumphttps://twitter.com/santiagomayer_/status/1189205862583173131 …,,,# # #,1.18921E+18,https://twitter.com/ApriliaZone/status/1189207879116439552
iammanojpandey,10/29/2019 20:49,0,1,बीबीसी की बघदादी को श्रद्धांजलि. पढ़िए रिपोर्ट का अन्तिम भागः https://www.bbc.com/hindi/international-50200519 … # Baghdadi # BaghdadiKilled # bbc,,,# # #,1.18921E+18,https://twitter.com/iammanojpandey/status/1189207568612151296
ApriliaZone,10/29/2019 20:48,0,1,Trump looks like a 6th grade slacker giving an oral report for the first time and confusing the news with a video game. # BaghdadiKilled # TrumpIsADisgrace # DumbAssTrumphttps://twitter.com/va_cc11/status/1189191444210126848 …,,,# # #,1.18921E+18,https://twitter.com/ApriliaZone/status/1189207305293725696
Real_Vish5,10/29/2019 20:43,0,6,# बगदादी के बाद अब अगला नम्बर किसका...? # BaghdadiDiedLikeADog # BaghdadiKilled,,,# # #,1.18921E+18,https://twitter.com/Real_Vish5/status/1189206029013147648
ArnabComeswamy,10/29/2019 20:43,0,0,My underwear is missing since evening.. I saw it while entering my house. After having a cup of coffee,,,,,
zaharako,10/29/2019 20:33,0,0,I think he pretty much had us until the body parts and the downplaying Ben Laden and the thanking Russia before the soldiers. # BenLaden # RudyColludy # TrumpMeltdown # Ukrain # alBaghdadi # Baghdadi # BaghdadiKilled # veteransforimpeachment # VetsForImpeachment # VetsResistSquadron,,,# # # # # # # # # #,1.1892E+18,https://twitter.com/zaharako/status/1189203627920912384
CJArndt2,10/29/2019 20:31,0,0,# AR15 # PossibleModifications # Baghdadi # Bagdadi # BaghdadiDiedLikeADog # BaghdadiKilled pic.twitter.com/GMImxafIb0,,,# # # # # #,1.1892E+18,https://twitter.com/CJArndt2/status/1189203143432769539
Ajityad28824015,10/29/2019 20:28,0,2,बगदादी में लाख बुराईयां थी पर उसने कभी कांग्रेस नही जॉइन किया। # BaghdadiKilled @ RahulGandhi,,@,#,1.1892E+18,https://twitter.com/Ajityad28824015/status/1189202422167588870
kalicharan666,10/29/2019 20:26,0,0,बगदादी की मौत पर व्यंग्य चित्र भारतीय सेक्युलर नेताओ को समर्पित # BaghdadiDiedLikeADog # BaghdadiKilled pic.twitter.com/lF0p3JrENa,,,# #,1.1892E+18,https://twitter.com/kalicharan666/status/1189201966842253314
AmitDehati,10/29/2019 20:21,0,0,अमेरिका इस्लामी आतंकियों की लाशों को समुद्र में फेंकता है,,,,,
AmitDehati,10/29/2019 20:20,0,0,@ AmitShah अमेरिका इस्लामी आतंकियों की लाशों को समुद्र में फेंकता है,,,,,
dwivedi344,10/29/2019 20:18,0,1,बग़दादी के रिश्तेदार चैनल वालो को फ़ोन करके पूछ रहे है कि- ये लास्ट है ना,,,,,
latestly,10/29/2019 20:15,0,3,US President # DonaldTrump Confirms # AbuBakrAlBaghdadi's IS Replacement Also Killed https://www.latestly.com/world/us-president-donald-trump-confirms-abu-bakr-al-baghdadis-is-replacement-also-killed-1302195.html … # BaghdadiKilled # Baghdadi,,,# # # #,1.1892E+18,https://twitter.com/latestly/status/1189199145065574400
Fairoozmbm,10/29/2019 20:15,1,2,All Ceylon Jamiyyathul Ulama @ ACJUNEWS welcome the news report on the death of the ruthless terrorist,,,,,
chhatrapati_1,10/29/2019 20:08,0,3,अगर अमेरिका बगदादी को घर मे घुस कर मार सकता है,,,,,
weath110,10/29/2019 20:08,0,0,@ Commentary # Podcast on # BaghdadiKilled & # KatieHill (October 28,,,,,
Gavendraa,10/29/2019 20:05,1,1,# BaghdadiDiedLikeADog # Baghdadi # BaghdadiKilled # ISISleaderDead # ISISChiefBaghdadi # ISISleader # ISISpic.twitter.com/6lTvhVQywC,,,# # # # # # #,1.1892E+18,https://twitter.com/Gavendraa/status/1189196591854342146
abo_raghad20112,10/29/2019 20:05,2,4,Commenting on # BaghdadiKilled Everyone knows that companies do not fight their products but promote them and sometimes resort to stop and withdraw a model from the market in preparation for the launch of a new model to greater profits USA does not fight terrorism,,,,,
cricmaddster,10/29/2019 20:04,0,0,@ realDonaldTrump we need proof of Baghdadi's death # BaghdadiKilled,,@,#,1.1892E+18,https://twitter.com/cricmaddster/status/1189196236060053507
JhaJi09,10/29/2019 20:03,0,1,कौन थी वो लड़की जिसका बदला लेने के लिए अमेरिका को बगदादी के अंडरवियर तक का सहारा लेना पड़ा https://circle.page/post/1732922?utm_source=article&person=614232 … # Baghdadi # KaylaMueller # BaghdadiKilled,,,# # #,1.1892E+18,https://twitter.com/JhaJi09/status/1189195962020818944
imsjaiszz,10/29/2019 19:59,0,0,Well done. # BaghdadiDiedLikeADog # Baghdadi # BaghdadiKilled # BaghdadiDead # Baghdadiَ I want to see each and every # Terrorists should be killed soon,,,,,
WIONews,10/29/2019 19:59,5,29,# WATCH | # USA President Donald # Trump shares a picture of a heroic # dog who played the major role in the killing of # ISIS chief Abu Bakr al- # Baghdadi. Catch this report by @ alysonle # MissionBaghdadi # BaghdadiKilled # ISISleaderDeadpic.twitter.com/Cye9uQBIzi,,@,# # # # # # # # #,1.18919E+18,https://twitter.com/WIONews/status/1189194987054829574
vi_shukla,10/29/2019 19:49,0,0,बचपन में शायद # आप ( # AAP) के साथ ही खेलता था। सजदा और नमाज़ भी अदा करता होगा # Baghdadi भाई। क्यों @ ashutosh83B भाई ???? # BaghdadiDiedLikeADog # BaghdadiKilled लोगों को # गालियां खाने की आदत हो गयी है WaPo @ washingtonpost की तरह।https://twitter.com/ashutosh83B/status/1189009862459412481 …,,@ @,# # # # # #,1.18919E+18,https://twitter.com/vi_shukla/status/1189192662160568320
JagranNews,10/29/2019 19:46,62,572,बगदादी के उत्‍तराधिकारी को भी अमेरिकी सेना ने मार डाला,,,,,
iamhimanshu110,10/29/2019 19:45,0,2,लो भाई..... बगदादी का उत्तराधिकारी ढेर! अमेरिकी हमले में अब्दुल्ला कर्दश भी मारा गया....अमेरिकी राष्ट्रपति का बयान @ realDonaldTrump ने ट्वीट कर दी जानकारी!!! # BaghdadiDiedLikeADog # BaghdadiKilled # Kardash # ISISChiefBaghdadi,,@,# # # #,1.18919E+18,https://twitter.com/iamhimanshu110/status/1189191445896237057
ifassescouldfly,10/29/2019 19:40,0,0,I think American troops sent that dog to chase Baghdadi cuz they knew he'd run away from that Haram dog and as it chased him into the tunnel,,,,,
imgujarat,10/29/2019 19:35,0,0,# DonaldTrump # BaghdadiKilled https://www.iamgujarat.com/latest-news/international-news/america/donald-trump-announced-no-one-replacement-of-isis-chief-baghdadi-terminated-475203/ …,,,# #,1.18919E+18,https://twitter.com/imgujarat/status/1189188912264040450
iwiinanen,10/29/2019 19:34,2,5,Beghdadi was killed by good men who are willing to use violence to keep freedom alive and levy justice in the face of evil. Read my piece. # Baghdadi # BaghdadiDiedLikeADog # BaghdadiKilled https://millennialpen.com/violent-men-keep-america-free/ …,,,# # #,1.18919E+18,https://twitter.com/iwiinanen/status/1189188857578655744
UrbanFitoor,10/29/2019 19:28,0,4,Must be his girl/boyfriend,,,,,
ransinghBJP,10/29/2019 19:26,0,1,बगदादी का उत्तराधिकारी ढेर! अमेरिकी हमले में अब्दुल्ला कर्दश भी मारा गया! अमेरिकी राष्ट्रपति @ realDonaldTrump ने ट्वीट कर दी जानकारी!!! # BaghdadiDiedLikeADog # BaghdadiKilled # Kardash # ISISChiefBaghdadi,,@,# # # #,1.18919E+18,https://twitter.com/ransinghBJP/status/1189186836544946178
SastaStark,10/29/2019 19:24,0,0,Just when I thought I've seen everything # AbuBakrAlBaghdadi # BaghdadiKilled # BaghdadiDiedLikeADog # Baghdadipic.twitter.com/aGAEGf5K1R,,,# # # #,1.18919E+18,https://twitter.com/SastaStark/status/1189186177095458817
MdsuMohit,10/29/2019 19:21,1,3,@ narendramodi ji कुछ तो लोग कहेंगे......लोगो का काम है कहना @ realDonaldTrump @ POTUS @ PMOIndia @ AmitShah @ dpradhanbjp @ byadavbjp @ AMISHDEVGAN @ anjanaomkashyap # BaghdadiDiedLikeADog # Baghd,,@ @ @ @ @ @ @ @ @,# # # #,1.18919E+18,https://twitter.com/MdsuMohit/status/1189185539305377794
TewariAlok,10/29/2019 19:21,0,2,Baghdadi's likely successor (Abu al-Hassan al-Muhajir) has also been killed. Power vacuum in ISIS. Any volunteers from India ? @ asadowaisi @ RifatJawaid @ RanaAyyub @ khanumarfa # BaghdadiKilled,,@ @ @ @,#,1.18919E+18,https://twitter.com/TewariAlok/status/1189185377334001664
TheRealNews,10/29/2019 19:18,9,12,The U.S. war in Iraq created ISIS. It thrives on destabilized states,,,,,
RealJoelGomes,10/29/2019 19:17,0,0,"The Great American Hoodwink Game! # Baghdadi given US provided burial at Sea""",,,,,
ChocolatyGirl21,10/29/2019 19:16,12,35,अंतरराष्ट्रीय पटाखा उत्पादक और थोक विक्रेता स्वर्गीय बगदादी सीरिया वाले अब हमारे बीच नहीं रहे..!! पाँच पटाखों की श्रद्धांजलि उन्हें भी..!! # Pakistan # BaghdadiDiedLikeADog # BaghdadiKilled,,,# # #,1.18918E+18,https://twitter.com/ChocolatyGirl21/status/1189184202501017608
DChaurasia2312,10/29/2019 19:15,31,296,बगदादी का उत्तराधिकारी ढेर! अमेरिकी हमले में अब्दुल्ला कर्दश भी मारा गया! अमेरिकी राष्ट्रपति @ realDonaldTrump ने ट्वीट कर दी जानकारी!!! # BaghdadiDiedLikeADog # BaghdadiKilled # Kardash # ISISChiefBaghdadi,,@,# # # #,1.18918E+18,https://twitter.com/DChaurasia2312/status/1189184048507187202
EditorsOpinion,10/29/2019 19:12,0,0,Terrorist-in-Chief Barack Hussein Obama allowed ISIS to grow massively while he was in office. Called them the “JV team” to justify his complacency. Just one example of many. Impeach # BaghdadiKilled # LiberalismIsAMentalDisorder,,,# #,1.18918E+18,https://twitter.com/EditorsOpinion/status/1189183304215465984
wothappencom,10/29/2019 19:08,0,0,US military dispose of Abu Bakr al-Baghdadi body at sea # AbuBakrAlBaghdadi # BaghdadiKilled https://www.wothappen.com/us-military-dispose-of-abu-bakr-al-baghdadi-body-at-sea/ …,,,# #,1.18918E+18,https://twitter.com/wothappencom/status/1189182197250420737
Meashoksaini,10/29/2019 19:07,0,2,Sorry @ washingtonpost,,,,,
SuspendedTruth,10/29/2019 19:01,1,2,Last known image of Baghdadi's remains buried at sea. # BaghdadiDiedLikeADog # BaghdadiKilled # Baghdadipic.twitter.com/krqttI385R,,,# # #,1.18918E+18,https://twitter.com/SuspendedTruth/status/1189180482983907328
cykelly1718,10/29/2019 19:00,1,1,One # BaghdadiKilled does NOT equal scores of # ISIS fighters released by Turkey. # WakeUp! trump is EVIL. He lies all the time. Keep digging. You'll be in China soon.,,,# # #,1.18918E+18,https://twitter.com/cykelly1718/status/1189180138350530564
fleetstreetfox,10/29/2019 19:00,1,5,No,,,,,
PRAISETRIUNEGOD,10/29/2019 18:54,0,0,Trump tweets Photo of Hero dog ! # BaghdadiKilled https://twitter.com/realDonaldTrump/status/1188909031403900928 …,,,#,1.18918E+18,https://twitter.com/PRAISETRIUNEGOD/status/1189178772349571072
Atul_Misra_,10/29/2019 18:52,3,25,. चुनाव जीतने जे लिए # ट्रम्प ने # बगदादी को और उसके चेले को मार गिराया # कांग्रेस अब सब कुछ मोदी जी की सालाह पर हो।रहा है # BaghdadiKilled pic.twitter.com/xCShaXq8Lj,,,# # # #,1.18918E+18,https://twitter.com/Atul_Misra_/status/1189178095476957187
ArjunVishalRai,10/29/2019 18:50,0,0,@ ashutosh83B dekhle kaluae ek wonderful dog ne tere dost # Bagdadi ko mara.. # ShameOnYou jo tune bagdadi jaise seedhe dharmik aadmi ko bigaad diya tha.. # BaghdadiDiedLikeADog # BaghdadiKilled # BaghdadiDead # bagdadiKilled # ISISleaderDeadhttps://twitt,,@,# # # # # # #,1.18918E+18,https://twitter.com/ArjunVishalRai/status/1189177682073751552
Vinay_Journalis,10/29/2019 18:49,0,0,अबु बकर अल बगदादी का उत्तराधिकारी भी मारा गया। # BaghdadiDiedLikeADog,,,,,
ganeshGupta4545,10/29/2019 18:40,0,0,बगदादी जो अमन की राह में चलते हुए बम फोड़कर दुनिया मे अमन लाना चाहता था वो उसके निधन से दुनिया ने महान फुटबॉलर और सच्चे जिहादी को खो दिया है ये अलग बात है कि फूटबाल तो नेहरु जी को भी पसंद थी,,,,,
SanketVGarg,10/29/2019 18:39,0,0,Monster # Baghdadi shud be cut in pieces and his remains feed to vultures.. # BaghdadiKilled https://twitter.com/ndtv/status/1188985570707439616 …,,,# #,1.18918E+18,https://twitter.com/SanketVGarg/status/1189175011296198656
Czerwusia,10/29/2019 18:36,0,0,Must read. Role of # Kurds which led to # BaghdadiKilled . Who deserves the actual credit? Who played contradictory role? As Kurds Tracked ISIS Leader,,,,,
mantavyanews,10/29/2019 18:30,1,1,આતંકી બગદાદીના મૃતદેહને દરિયામાં દફનાવી દેવાયો # Mantavyanews # BaghdadiKilled # BaghdadiDead Read: https://mantavyanews.com/world-us-baghdadis-body-disposed-at-sea-by-us-officials/ …pic.twitter.com/TX6WFruUZw,,,# # #,1.18917E+18,https://twitter.com/mantavyanews/status/1189172634845450241
Anand942444,10/29/2019 18:23,15,27,"क्या किसी मुस्लिम देश से ये आवाज़ आयी तुम कितने बगदादी मरोगे हर घर से बग़दादी निकलेगा""? नहीँ। फिर हिंदुस्तान में ही ""तुम कितने अफ़ज़ल मरोगे हर घर से अफ़ज़ल निकलेगा।"" जैसे नारे क्यों लगते हैं? क्योकिं गद्दार ए वतन सिर्फ़ हिंदुस्तान में पाए जाते हैं। # BaghdadiKilled pic.twitter.com/xHMdaklMW7""",,,#,1.18917E+18,https://twitter.com/Anand942444/status/1189170865990094849
RajputMithiles5,10/29/2019 18:21,0,1,# Baghdadi Kalutosh ka Ristedar tha Esiliye bechara Ab Dukhi h # BaghdadiKilled,,,# #,1.18917E+18,https://twitter.com/RajputMithiles5/status/1189170326841651202
Durgesh2274,10/29/2019 18:19,0,0,अमेरिका इस्लामी आतंकियों की लाशों को समुद्र में फेंकता है,,,,,
OpIndia_in,10/29/2019 18:10,241,514,अमेरिका इस्लामी आतंकियों की लाशों को समुद्र में फेंकता है,,,,,
JimMaso02236687,10/29/2019 18:07,1,0,NPR Gushes Over Baghdadi: “He Was a Real Leader”... # Liberals are ISIS sympathizers since it's another way to say # OrangeManBad https://summit.news/2019/10/29/npr-gushes-over-baghdadi-he-was-a-real-leader/ … # BaghdadiDiedLikeADog # BaghdadiKilled # BaghdadiDead # LiberalismIsAMentalDisease # liberallogic # TrumpDerangementSyndrome,,,# # # # # # # #,1.18917E+18,https://twitter.com/JimMaso02236687/status/1189166752476913664
ashi_always,10/29/2019 18:06,0,0,# BaghdadiDiedLikeADog # BaghdadiKilled # Baghdadi # Presstitutes # Libtardspic.twitter.com/L0MX7TKOQb,,,# # # # #,1.18917E+18,https://twitter.com/ashi_always/status/1189166584251609089
RNCrypto74,10/29/2019 18:03,0,0,# MSM lost it with their # Baghdadi reports…. minimizing the elimination of a mercyless terrorist and instead trying to avoid too much praise for the # Trump administration … surely they would criticize him if he put # worldfamine to an end .. # Hypocrites # BaghdadiKilled # TDS,,,# # # # # # #,1.18917E+18,https://twitter.com/RNCrypto74/status/1189165750176669698
nirvana74v,10/29/2019 18:02,0,1,बचपन से ही धार्मिक स्वभाव वाला बग़दादी कैसे बना कट्टर धर्मगुरु? # BaghdadiKilled https://twitter.com/ashutosh83B/status/1189009862459412481 …,,,#,1.18917E+18,https://twitter.com/nirvana74v/status/1189165530092982273
stage3newsin,10/29/2019 17:54,0,0,SDF Desperately used Stolen Underwear of Baghdadi for conformation # SDF # BaghdadiDiedLikeADog # BaghdadiKilled https://www.newsbricks.com/world-news/abu-bakr-al-baghdadi-killing-update/49116 …,,,# # #,1.18916E+18,https://twitter.com/stage3newsin/status/1189163682418151424
JagranNews,10/29/2019 17:53,31,283,बगदादी के मारे जाने के ऑपरेशन पर डोनाल्‍ड ट्रंप ने कहा,,,,,
qandeelaslam,10/29/2019 17:45,0,0,First # OsamaBinLaden and now # BaghdadiKilled ; please show the remains; please... # DonaldTrump,,,# # #,1.18916E+18,https://twitter.com/qandeelaslam/status/1189161371356876801
Divy_Ji,10/29/2019 17:42,0,2,Any news of anyone who asked for proof of # BaghdadiKilled in the states? Oh! Tukde gang and Breaking India brigade might not be aware of it!,,,#,1.18916E+18,https://twitter.com/Divy_Ji/status/1189160492566114304
league_of_india,10/29/2019 17:40,0,0,Too Insincere. Too Late. Remember,,,,,
imgujarat,10/29/2019 17:39,0,0,# Dog # BaghdadiDiedLikeADog # BaghdadiKilled @ realDonaldTrumphttps://www.iamgujarat.com/latest-news/international-news/america/dog-who-played-important-role-leading-to-death-of-baghdadi-475163/ …,,@,# # #,1.18916E+18,https://twitter.com/imgujarat/status/1189159699234476032
